"Airport..Name" "Origin.State" "origin_id"
"TYLER POUNDS FIELD" "Texas" 245
"KENDALL-TAMIAMI EXECUTIVE ARPT" "Florida" 246
"BATON ROUGE METRO" "Louisiana" 247
"LONG BEACH-DAUGH FLD" "California" 248
"NEWPORT NEWS/WILLIAMSBURG INTL" "Virginia" 249
"SOUTHEAST TEXAS REGIONAL ARPT" "Texas" 250
"VAN NUYS ARPT" "California" 251
"CHINO AIRPORT" "California" 252
"WILLIAM B HEILIG FIELD" "Nebraska" 253
"ABILENE REGIONAL ARPT" "Texas" 254
"PALM BEACH INTL" "Florida" 255
NULL "Washington" 256
"GREENBRIER VALLEY ARPT" "West Virginia" 257
NULL "Maryland" 258
"SHEBOYGAN COUNTY MEMORIAL ARPT" "Wisconsin" 259
"CENTENNIAL ARPT" "Colorado" 260
"HAGERSTOWN REGIONAL" "Maryland" 261
"MOLOKAI ARPT" "Hawaii" 262
"GRAND FORKS INTL" "North Dakota" 263
"WATERTOWN INTL ARPT" "New York" 264
NULL "Indiana" 265
"LINCOLN MUNICIPAL" "Nebraska" 266
"LAREDO INTL" "Texas" 267
"BISMARCK MUNICIPAL ARPT" "North Dakota" 268
"COLUMBIA METRO" "South Carolina" 269
"PIERRE REGIONAL ARPT" "South Dakota" 270
"RENO TAHOE INTL" "Nevada" 271
"WACO REGIONAL ARPT" "Texas" 272
"TIANJIN (CHINA)" "N/A" 273
"KALAMAZOO/BATTLE CREEK INTL" "Michigan" 274
NULL "Oregon" 275
"WILEY POST ARPT" "Oklahoma" 276
"ALBANY INTL" "New York" 277
"READING REGIONAL" "Pennsylvania" 278
"ADDISON" "Texas" 279
"PIEDMONT TRIAD INTL" "North Carolina" 280
"ALTOONA-BLAIR COUNTY" "Pennsylvania" 281
"ALBUQUERQUE INTL" "New Mexico" 282
"HOUGHTON COUNTY MEM" "Michigan" 283
"EL PASO INTL ARPT" "Texas" 284
"BEVERLY MUNICIPAL ARPT" "Massachusetts" 285
"MATHIS FIELD (TX)" "Texas" 286
"MCGHEE TYSON ARPT" "Tennessee" 287
"BOISE AIR TERMINAL/GOWEN FIELD" "Idaho" 288
"TOKYO INTL" "N/A" 289
"GREENVILLE-SPARTANBURG INTL" "South Carolina" 290
"FALLS INTL ARPT" "Minnesota" 291
"MBS INTL" "Michigan" 292
"VIRU VIRU INTL" "N/A" 293
"MT PLEASANT REGIONAL ARPT" "South Carolina" 294
"RICHARD LLOYD JONES JR ARPT" "Oklahoma" 295
"POCATELLO MUNICIPAL ARPT" "Idaho" 296
"LUBBOCK INTL" "Texas" 297
"KLAMATH FALLS INTL" "Oregon" 298
"SANTA FE DE BOGOTA" "N/A" 299
"MELBOURNE AUSTRALIA" "N/A" 300
"BUSH FLD" "Georgia" 301
"NEW BEDFORD REGIONAL ARPT" "Massachusetts" 302
"WICHITA MID-CONTINENT ARPT" "Kansas" 303
"CHENNAULT INTL ARPT" "Louisiana" 304
"AMARILLO INTL" "Texas" 305
"HAROLD DAVIDSON FIELD ARPT" "South Dakota" 306
"MID-OHIO VALLEY REGIONAL" "West Virginia" 307
"SOUTHWEST MICHIGAN REGIONAL" "Michigan" 308
"LAWRENCE J TIMMERMAN ARPT" "Wisconsin" 309
"ERNESTO CORTISSOZ" "N/A" 310
"TRI-CITIES" "Washington" 311
"JOSE MARTI INTL" "N/A" 312
"STEWART INTL AIRPORT" "New York" 313
"MELBOURNE INTL" "Florida" 314
"KODIAK AIRPORT" "Alaska" 315
"CORPUS CHRISTI NAS/TRUAX FIELD" "Texas" 316
NULL "Colorado" 317
"CHICAGO EXECUTIVE ARPT" "Illinois" 318
"KENAI MUNICIPAL ARPT" "Alaska" 319
"LIMA ALLEN COUNTY" "Ohio" 320
"MERRILL C MEIGS ARPT" "Illinois" 321
"MERLE K (MUDHOLE) SMITH ARPT" "Alaska" 322
"AURORA MUNICIPAL ARPT" "Illinois" 323
"HARRISON/MARION REGIONAL" "West Virginia" 324
"OTTAWA/MACDONALD-CARTIER INTL" "Ontario" 325
"RANGE REGIONAL ARPT" "Minnesota" 326
"ALEXANDRIA INTL" "Louisiana" 327
"DANE COUNTY REGIONAL ARPT-TRUAX FLD" "Wisconsin" 328
"GULFPORT BILOXI REGIONAL" "Mississippi" 329
"L M CLAYTON" "Montana" 330
"WILLOW RUN ARPT" "Michigan" 331
"YOUNGSTOWN-WARREN RGNL ARPT" "Ohio" 332
NULL "Illinois" 333
"TACOMA NARROWS ARPT" "Washington" 334
"CAPITAL CITY (MI)" "Michigan" 335
NULL "Pennsylvania" 336
"SAVANNAH INTL" "Georgia" 337
"HOUARI BOUMEDIENE" "N/A" 338
"NIAGARA FALLS INTL" "New York" 339
"NATRONA COUNTY INTL" "Wyoming" 340
"DAVID WAYNE HOOKS MEMORIAL ARPT" "Texas" 341
"HILO INTL ARPT" "Hawaii" 342
NULL "Michigan" 343
"ROANOKE REGIONAL" "Virginia" 344
"HENRY E ROHLSEN ARPT" "Virgin Islands" 345
"GRANT COUNTY ARPT" "Washington" 346
"FALCON FIELD ARPT" "Arizona" 347
"ST LOUIS REGIONAL" "Illinois" 348
"PANAMA CITY - BAY COUNTY INTL" "Florida" 349
"GREENVILLE DOWNTOWN ARPT" "South Carolina" 350
"MCCORMICK COUNTY" "South Carolina" 351
"BISHOP INTL FLINT" "Michigan" 352
"EAST HAMPTON ARPT" "New York" 353
"GREENWOOD MUNICIPAL ARPT" "Indiana" 354
"THE EASTERN IOWA ARPT" "Iowa" 355
"ATHENS/BEN EPPS ARPT" "Georgia" 356
"EL SALVADOR INTL" "N/A" 357
"KANSAI INTL" "N/A" 358
"GUAYAQUIL/S BOLIVAR" "N/A" 359
"PHOENIX DEER VALLEY ARPT" "Arizona" 360
NULL "Massachusetts" 361
"PU DONG INTL ARPT" "N/A" 362
"PIARCO TRINIDAD" "N/A" 363
"NW ARKANSAS REGIONAL" "Arkansas" 364
"MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL" "Quebec" 365
"MILANO MALPENSA" "N/A" 366
"SALINA MUNICIPAL" "Kansas" 367
"FAIRMONT MUNICIPAL ARPT" "Minnesota" 368
"FRANKFURT MAIN" "N/A" 369
"LA AURORA" "N/A" 370
"HESLER-NOBLE FIELD ARPT" "Mississippi" 371
"MARTIN STATE ARPT" "Maryland" 372
"ST. PETERSBURG/CLEARWATER INTL" "Florida" 373
"BENITO JUAREZ INTL" "N/A" 374
"KUALA LUMPUR INTL" "N/A" 375
"HOUSTON GULF ARPT" "Texas" 376
"CHERRY CAPITAL ARPT" "Michigan" 377
"MORAN FIELD ARPT" "Maryland" 378
"MASON COUNTY ARPT (MI)" "Michigan" 379
"TORONTO/LESTER B. PEARSON INTL" "Ontario" 380
"COLUMBUS MUNICIPAL ARPT (IN)" "Indiana" 381
"EASTERN WEST VIRGINIA REGIONAL ARPT" "West Virginia" 382
"LAURENCE G HANSCOM" "Massachusetts" 383
"DEKALB-PEACHTREE ARPT" "Georgia" 384
"PUERTO PLATA INTL" "N/A" 385
"ASHTABULA COUNTY" "Ohio" 386
"BUTLER FARM SHOW" "Pennsylvania" 387
"BRUSSELS NATIONAL" "N/A" 388
"W K KELLOGG ARPT" "Michigan" 389
"BOEING FIELD K C INT" "Washington" 390
"CRYSTAL ARPT" "Minnesota" 391
"COLEMAN A YOUNG MUNICIPAL ARPT" "Michigan" 392
"NEW CENTURY AIRCENTER ARPT" "Kansas" 393
"RAPID CITY REGIONAL" "South Dakota" 394
"ELLINGTON FIELD ARPT" "Texas" 395
"SPOKANE INTERNATIONAL" "Washington" 396
"AKRON-CANTON MUNICIPAL" "Ohio" 397
"MANSFIELD LAHM MUNICIPAL" "Ohio" 398
"NORTH BEND MUNICIPAL" "Oregon" 399
"GUAM INTL ARPT" "Prince Edward Island" 400
"DUBUQUE REGIONAL ARPT" "Iowa" 401
"FLORENCE REGIONAL" "South Carolina" 402
"LYNDEN PINDLING INTL ARPT" "N/A" 403
"SUVA FIJI" "N/A" 404
"NORTH CENTRAL WEST VIRGINIA ARPT" "West Virginia" 405
"FAIRBANKS INTL ARPT" "Alaska" 406
"OXNARD ARPT" "California" 407
"HERLONG ARPT" "Florida" 408
"CAPT FEAR REGIONAL JETPORT" "North Carolina" 409
"CARRABELLE-THOMPSON" "Florida" 410
"JEFFERSON CITY MEMORIAL ARPT" "Missouri" 411
"OCEAN CITY MUNICIPAL  ARPT (MD)" "Maryland" 412
"FRANCIS S GABRESKI ARPT" "New York" 413
"TSTC WACO" "Texas" 414
"ELKHART MUNICIPAL ARPT" "Indiana" 415
"BARTOW MUNICIPAL" "Florida" 416
"DECATUR ARPT" "Illinois" 417
"MODESTO CITY-COUNTY" "California" 418
"MUSKEGON COUNTY ARPT" "Michigan" 419
"GALEAO INTL (RIO)" "N/A" 420
"FLAGSTAFF PULLIAM" "Arizona" 421
"HAWKINS ARPT" "Missouri" 422
"RALPH WIEN MEMORIAL ARPT" "Alaska" 423
"LAKE HOOD STRIP ARPT" "Alaska" 424
"SANFORD REGIONAL ARPT" "Maine" 425
